Category,Difference,Observed Frequency,pValue,Cumulative
Standard Deviation,14.86,1,8.745080891998251e-05,0.015741145605596838
Standard Deviation,14.87,3,0.0002623524267599475,0.015653694796676856
Standard Deviation,14.88,1,8.745080891998251e-05,0.015391342369916908
Standard Deviation,14.89,5,0.00043725404459991256,0.015303891560996926
Standard Deviation,14.9,1,8.745080891998251e-05,0.014866637516397014
Standard Deviation,14.91,4,0.00034980323567993004,0.014779186707477032
Standard Deviation,14.92,2,0.00017490161783996502,0.014429383471797102
Standard Deviation,14.93,5,0.00043725404459991256,0.014254481853957137
Standard Deviation,14.95,3,0.0002623524267599475,0.013817227809357225
Standard Deviation,14.97,1,8.745080891998251e-05,0.013554875382597278
Standard Deviation,14.99,1,8.745080891998251e-05,0.013467424573677295
Standard Deviation,15.0,3,0.0002623524267599475,0.013379973764757313
Standard Deviation,15.01,2,0.00017490161783996502,0.013117621337997366
Standard Deviation,15.03,2,0.00017490161783996502,0.0129427197201574
Standard Deviation,15.04,3,0.0002623524267599475,0.012767818102317436
Standard Deviation,15.05,2,0.00017490161783996502,0.012505465675557489
Standard Deviation,15.06,1,8.745080891998251e-05,0.012330564057717524
Standard Deviation,15.07,3,0.0002623524267599475,0.012243113248797542
Standard Deviation,15.08,3,0.0002623524267599475,0.011980760822037594
Standard Deviation,15.09,4,0.00034980323567993004,0.011718408395277647
Standard Deviation,15.12,1,8.745080891998251e-05,0.011368605159597717
Standard Deviation,15.13,3,0.0002623524267599475,0.011281154350677735
Standard Deviation,15.14,5,0.00043725404459991256,0.011018801923917788
Standard Deviation,15.15,1,8.745080891998251e-05,0.010581547879317876
Standard Deviation,15.16,1,8.745080891998251e-05,0.010494097070397893
Standard Deviation,15.17,3,0.0002623524267599475,0.01040664626147791
Standard Deviation,15.19,1,8.745080891998251e-05,0.010144293834717964
Standard Deviation,15.2,4,0.00034980323567993004,0.010056843025797981
Standard Deviation,15.21,2,0.00017490161783996502,0.009707039790118051
Standard Deviation,15.22,2,0.00017490161783996502,0.009532138172278087
Standard Deviation,15.23,1,8.745080891998251e-05,0.009357236554438122
Standard Deviation,15.24,1,8.745080891998251e-05,0.00926978574551814
Standard Deviation,15.25,2,0.00017490161783996502,0.009182334936598157
Standard Deviation,15.27,2,0.00017490161783996502,0.009007433318758192
Standard Deviation,15.28,2,0.00017490161783996502,0.008832531700918227
Standard Deviation,15.29,2,0.00017490161783996502,0.008657630083078263
Standard Deviation,15.3,4,0.00034980323567993004,0.008482728465238298
Standard Deviation,15.31,1,8.745080891998251e-05,0.008132925229558368
Standard Deviation,15.32,2,0.00017490161783996502,0.008045474420638386
Standard Deviation,15.33,1,8.745080891998251e-05,0.00787057280279842
Standard Deviation,15.34,1,8.745080891998251e-05,0.0077831219938784375
Standard Deviation,15.35,1,8.745080891998251e-05,0.007695671184958455
Standard Deviation,15.36,3,0.0002623524267599475,0.007608220376038473
Standard Deviation,15.37,2,0.00017490161783996502,0.007345867949278525
Standard Deviation,15.38,2,0.00017490161783996502,0.007170966331438561
Standard Deviation,15.39,2,0.00017490161783996502,0.006996064713598596
Standard Deviation,15.4,1,8.745080891998251e-05,0.006821163095758631
Standard Deviation,15.41,2,0.00017490161783996502,0.0067337122868386485
Standard Deviation,15.42,2,0.00017490161783996502,0.006558810668998684
Standard Deviation,15.43,2,0.00017490161783996502,0.006383909051158719
Standard Deviation,15.44,1,8.745080891998251e-05,0.006209007433318754
Standard Deviation,15.45,2,0.00017490161783996502,0.006121556624398772
Standard Deviation,15.46,1,8.745080891998251e-05,0.005946655006558807
Standard Deviation,15.48,1,8.745080891998251e-05,0.005859204197638824
Standard Deviation,15.5,1,8.745080891998251e-05,0.005771753388718842
Standard Deviation,15.51,1,8.745080891998251e-05,0.0056843025797988595
Standard Deviation,15.53,1,8.745080891998251e-05,0.005596851770878877
Standard Deviation,15.54,1,8.745080891998251e-05,0.005509400961958895
Standard Deviation,15.55,1,8.745080891998251e-05,0.005421950153038912
Standard Deviation,15.56,2,0.00017490161783996502,0.00533449934411893
Standard Deviation,15.58,2,0.00017490161783996502,0.005159597726278965
Standard Deviation,15.6,2,0.00017490161783996502,0.004984696108439
Standard Deviation,15.61,4,0.00034980323567993004,0.004809794490599035
Standard Deviation,15.63,1,8.745080891998251e-05,0.004459991254919106
Standard Deviation,15.64,2,0.00017490161783996502,0.004372540445999123
Standard Deviation,15.65,1,8.745080891998251e-05,0.0041976388281591585
Standard Deviation,15.66,1,8.745080891998251e-05,0.004110188019239176
Standard Deviation,15.68,3,0.0002623524267599475,0.004022737210319194
Standard Deviation,15.69,1,8.745080891998251e-05,0.003760384783559246
Standard Deviation,15.7,1,8.745080891998251e-05,0.0036729339746392636
Standard Deviation,15.71,1,8.745080891998251e-05,0.003585483165719281
Standard Deviation,15.74,1,8.745080891998251e-05,0.0034980323567992988
Standard Deviation,15.77,1,8.745080891998251e-05,0.0034105815478793163
Standard Deviation,15.78,4,0.00034980323567993004,0.003323130738959334
Standard Deviation,15.79,1,8.745080891998251e-05,0.002973327503279404
Standard Deviation,15.82,2,0.00017490161783996502,0.0028858766943594214
Standard Deviation,15.84,1,8.745080891998251e-05,0.0027109750765194566
Standard Deviation,15.89,1,8.745080891998251e-05,0.002623524267599474
Standard Deviation,15.9,1,8.745080891998251e-05,0.0025360734586794918
Standard Deviation,15.91,1,8.745080891998251e-05,0.0024486226497595093
Standard Deviation,15.93,1,8.745080891998251e-05,0.002361171840839527
Standard Deviation,15.94,1,8.745080891998251e-05,0.0022737210319195445
Standard Deviation,16.0,1,8.745080891998251e-05,0.002186270222999562
Standard Deviation,16.04,1,8.745080891998251e-05,0.0020988194140795797
Standard Deviation,16.07,1,8.745080891998251e-05,0.0020113686051595973
Standard Deviation,16.08,1,8.745080891998251e-05,0.0019239177962396149
